주차장명,지역구,주소,위도,경도,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
양화진 공영주차장(구),마포구 , 합정동 139-21,37.545733,126.9112039,노외 주차장,시간제 주차장,02-300-5052,133,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,449589.0206,192153.8953,,2448.696728,2123.085589,1933.45971,1842.713963,1951.63194,2084.893885,2250.120056,2486.812139,2916.899653,3288.199602,3551.443607,3913.001173,4178.004267,4471.49291,,600
망원1-2 공영주차장(구),마포구 , 망원동 403-2,37.55558459,126.9058731,노외 주차장,시간제 주차장,02-300-5052,150,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,450682.7704,191683.9555,,1652.401113,1593.575673,1641.184965,1793.027052,2018.282671,2299.034259,2654.096019,2992.504376,3561.631192,3953.920833,4231.946855,4628.035102,4918.628539,5210.503519,,
가족공원주차장(시),용산구 , 용산동6가 93-6,37.52073083,126.9836596,노외 주차장,시간제 주차장,02-792-5661,50,유료,0,2400,0,2400,0,2400,무료,무료,120000,300,10,300,10,0,446810.8056,198555.6654,,7792.315779,7250.125765,6878.209734,6518.485387,6271.699971,5935.415966,5472.008812,5093.131965,4451.581427,4080.373399,3815.760636,3412.170053,3109.681828,2857.470975,,
청파동1마을공원공영주차장(구),용산구 , 청파동3가 118-102,37.54294115,126.9684714,노외 주차장,시간제 주차장,010-8956-2371,105,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0,449275.9543,197214.0004,,5242.693873,4736.833938,4402.266927,4078.260111,3822.508689,3490.696933,3070.84379,2715.900091,2164.771341,1783.056474,1518.823075,1187.1851,996.5824811,769.3179512,,
청파동청사(구),용산구 , 청파동2가 91-1,37.54549939,126.9699178,노외 주차장,시간제 주차장,070-4257-3611,32,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0,449559.8157,197341.9012,,5215.590235,4725.37781,4405.505553,4095.795575,3841.023539,3515.853995,3117.039482,2778.003801,2271.213987,1906.495773,1660.405483,1378.122618,1235.222731,1043.956377,,
용산전자상가4(구),용산구 , 원효로3가 51-5,37.53388844,126.9600572,노외 주차장,시간제 주차장,02-707-3163,114,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,448271.6044,196470.0596,,5270.043391,4721.68928,4344.190938,3980.663414,3737.194266,3403.286327,2937.249514,2559.715956,1916.152054,1561.563,1317.15472,946.6168203,685.0380418,597.6907125,,
후암동주차장(구),용산구 , 후암동 65-4,37.55048874,126.9764859,노외 주차장,시간제 주차장,010-3330-8150,39,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0,450113.3487,197922.4048,,5526.681159,5079.18049,4796.696954,4522.632483,4274.840925,3970.234526,3621.863711,3320.984464,2900.946213,2572.039096,2357.26894,2133.130778,2024.906731,1845.877748,,
해방촌노외(시),용산구 , 용산동2가 1-1497,37.54438297,126.9843042,노외 주차장,시간제 주차장,02-2642-6209,24,유료,900,2200,900,2200,900,2200,무료,무료,100000,150,5,150,5,0,449435.6104,198613.0799,,6417.903569,5948.166507,5643.994228,5346.973052,5093.841937,4774.221466,4386.921446,4053.100863,3545.265936,3174.183291,2918.295668,2595.168917,2387.773666,2126.216081,,
동작대교(시),용산구 , 용산동6가 69-11,37.51801557,126.9839829,노외 주차장,시간제 주차장,02-2642-6209,87,유료,800,2200,800,2200,800,2200,무료,무료,50000,100,5,100,5,0,446509.4732,198584.1907,,8015.940453,7470.425901,7095.057298,6732.523311,6488.069075,6153.132845,5687.934278,5309.669815,4666.509262,4301.85851,4041.978251,3642.267429,3341.93386,3099.387509,,
망원동 노외 공영주차장(구),마포구 , 망원동 478-10,37.55955925,126.9066011,노외 주차장,시간제 주차장,02-300-5052,13,유료,900,1900,900,1900,0,0,무료,유료,50000,100,5,100,5,0,451123.7992,191748.7121,,1287.683659,1351.248927,1499.221993,1733.835825,1981.208233,2294.790734,2698.385996,3059.138494,3662.975586,4054.414804,4333.001751,4736.81347,5034.163569,5321.858807,,
신촌역동측광장공영주차장(구),서대문구,구 대현동 121-9,37.55933566,126.9427449,노외 주차장,시간제 + 버스전용 주차장,02-360-8540~1,26,유료,0,2400,0,2400,0,2400,무료,무료,350000,350,5,350,5,0,451096.4269,194941.8067,,2390.304428,1946.701213,1697.343311,1491.386688,1281.560539,1084.582357,1056.518095,1126.377722,1521.230207,1725.295878,1913.857649,2265.429334,2546.486375,2762.604411,,
