업소 명,업종 명,업태 명,주소,위도,경도,X (N),Y (E),전화번호,지역구,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
신촌홍어집,일반음식점,한식, 매봉산로2길 19-6 (상암동 1층) ,37.57833231,126.8953551,453208.2143,190757.5067,01066331694,마포구,,,,,,,,,,,,,,,453208.2143,190757.5067,,2317.410169,2841.315611,3208.365451,3569.430167,3814.856981,4151.220369,4614.760756,4993.516578,5635.902767,6006.8795,6274.90609,6681.832007,6985.643311,7254.637996,,600
이촌동 면옥,일반음식점,한식, 이촌로54길 17 (이촌동(지상1.2층)) ,37.52058779,126.967566,446795.3008,197133.1433,027967775,용산구,,,,,,,,,,,,,,,446795.3008,197133.1433,,6804.008526,6248.627136,5862.16836,5491.787298,5259.86838,4935.157457,4469.375127,4100.846044,3465.780502,3144.456797,2920.195586,2564.191923,2298.682749,2142.741739,,
향기고을,일반음식점,한식, 한남대로18길 18 (한남동(지상1층)) ,37.53434845,127.0083815,448321.9374,200740.7113,,용산구,,,,,,,,,,,,,,,448321.9374,200740.7113,,8814.341275,8336.369966,8021.926017,7712.616179,7457.611748,7130.746078,6721.291569,6369.212224,5807.969104,5419.29911,5145.521486,4768.982273,4502.373278,4209.623952,,
한강회관,일반음식점,한식, 이촌로75길  10-3 2층 ,37.52039845,126.9743488,446774.1031,197732.6715,027909293,용산구,,,,,,,,,,,,,,,446774.1031,197732.6715,,7222.765911,6671.719847,6290.548315,5923.70807,5684.338578,5353.128311,4886.205241,4510.855237,3868.137982,3520.12507,3273.821794,2889.026397,2599.583704,2391.459814,,
신선설농탕이태원본점,일반음식점,한식, 이태원로 254 지상23층 (한남동) ,37.53722834,127.0011767,448641.5032,200103.9875,027938833,용산구,,,,,,,,,,,,,,,448641.5032,200103.9875,,8102.488856,7625.954663,7313.439453,7006.482943,6751.760954,6426.183586,6020.823655,5671.962768,5120.077148,4733.649711,4462.190821,4093.393165,3835.289434,3545.00608,,
셰프테이너,일반음식점,경양식, 이태원로27길 101 (이태원동(지하1층)) ,37.53770396,126.9949129,448694.2976,199550.4538,027984656,용산구,,,,,,,,,,,,,,,448694.2976,199550.4538,,7578.300903,7095.191608,6777.585916,6466.400518,6211.270103,5883.933935,5474.250488,5122.911144,4566.52101,4179.390312,3907.347919,3537.483418,3279.37246,2989.318768,,
사조참치,일반음식점,한식, 한강대로84길 5-3 (남영동외18필지(지상1층)) ,37.54380612,126.9728155,449371.8251,197597.8876,027963737,용산구,,,,,,,,,,,,,,,449371.8251,197597.8876,,5529.708376,5036.669207,4713.452484,4399.820095,4144.606563,3817.206419,3410.827126,3065.041485,2535.719947,2160.195145,1901.765454,1581.14062,1390.540734,1151.313042,,
방태산,일반음식점,한식, 이촌로18길 6 (이촌동(지상1층)) ,37.52649079,126.9553726,447450.8307,196055.6723,027188118,용산구,,,,,,,,,,,,,,,447450.8307,196055.6723,,5619.884388,5062.288899,4671.917661,4299.773666,4078.48569,3765.031932,3306.414485,2953.601788,2346.537932,2086.696636,1920.686459,1663.099342,1495.632504,1500.148912,,
고인돌,일반음식점,한식, 장문로 23 (이태원동(지하2층)) ,37.52856412,126.993108,447680.0062,199390.8729,027979434,용산구,,,,,,,,,,,,,,,447680.0062,199390.8729,,7934.298887,7419.310315,7073.090004,6735.48294,6480.599052,6144.0033,5701.959657,5330.415123,4719.715664,4327.902834,4049.271599,3646.648893,3352.900948,3062.194115,,
신촌홍어집,일반음식점,한식, 매봉산로2길 19-6 (상암동 1층) ,37.57833231,126.8953551,453208.2143,190757.5067,01066331694,마포구,,,,,,,,,,,,,,,453208.2143,190757.5067,,2317.410169,2841.315611,3208.365451,3569.430167,3814.856981,4151.220369,4614.760756,4993.516578,5635.902767,6006.8795,6274.90609,6681.832007,6985.643311,7254.637996,,
마포나루(1호점),일반음식점,한식, 마포대로 68 (도화동마포아크로타워 지하0102호) ,37.54133308,126.9489594,449098.2543,195489.74,027115959,마포구,,,,,,,,,,,,,,,449098.2543,195489.74,,3992.840191,3442.263361,3062.922609,2698.543849,2456.078722,2123.524616,1656.791915,1280.932674,638.9474945,349.7554793,316.2554202,548.4179995,807.5986166,1101.800069,,
경복궁서교점(주)덕용푸드시스템,일반음식점,한식, 월드컵북로 37 (서교동) ,37.55761302,126.9181733,450906.8607,192770.8656,0231437071,마포구,,,,,,,,,,,,,,,450906.8607,192770.8656,,1066.415663,668.0749499,550.6844373,695.2984212,937.6244135,1250.438824,1665.441273,2034.187325,2654.880558,3042.621787,3319.85481,3726.753663,4027.43881,4311.017079,,
(주)거구상사(거구장),일반음식점,한식, 백범로 23 (신수동외 8필지) ,37.55243512,126.937558,450330.9224,194483.0606,027153611,마포구,,,,,,,,,,,,,,,450330.9224,194483.0606,,2410.342582,1867.467039,1502.093608,1157.494343,902.8617419,566.0647323,195.2614355,330.9730704,953.0424984,1303.744977,1568.091365,1974.573426,2278.373087,2548.895209,,
돌아가는삼각지,일반음식점,한식, 한강대로62길 26 (한강로1가 231-23 상가아파트 지상1층 2호4호) ,37.53379072,126.9733305,448260.344,197643.0822,027909955,용산구,,,,,,,,,,,,,,,448260.344,197643.0822,,6167.349632,5638.058577,5279.752183,4932.426489,4679.548279,4341.618325,3889.925545,3514.066956,2891.365571,2502.024155,2224.855822,1817.949347,1518.941727,1233.682985,,
신라갈비찜,일반음식점,한식, 원효로 69 (원효로4가(지상1층)) ,37.53301253,126.9515492,448174.7532,195718.1127,027191290,용산구,,,,,,,,,,,,,,,448174.7532,195718.1127,,4839.592015,4282.683845,3894.019186,3522.525373,3295.647314,2977.222377,2515.509573,2158.172599,1547.788603,1299.882583,1163.070883,992.0498204,940.7501777,1091.021974,,
오메가3치킨영양삼계탕,일반음식점,경양식, 이촌로64길 61 (이촌동) ,37.52022383,126.9677019,446754.9052,197145.1418,027907555,용산구,,,,,,,,,,,,,,,446754.9052,197145.1418,,6842.550391,6287.037896,5900.392039,5529.897656,5298.331833,4973.931962,4508.268596,4140.066805,3505.415101,3184.973624,2961.28225,2605.850211,2340.648707,2184.872783,,
대한각,일반음식점,중국식, 녹사평대로26길 21 (이태원동(지상2층)) ,37.53087416,126.9913066,447936.3787,199231.692,027989990,용산구,,,,,,,,,,,,,,,447936.3787,199231.692,,7662.831235,7151.77994,6809.327731,6475.268336,6219.9563,5884.22315,5446.427166,5077.302474,4474.021811,4081.546566,3802.835999,3403.891525,3114.762941,2821.854981,,
한남북엇국,일반음식점,한식, 독서당로 65-7 지상1~3층지하1층 (한남동) ,37.53395563,127.0080647,448278.3421,200712.7147,0222971988,용산구,,,,,,,,,,,,,,,448278.3421,200712.7147,,8807.059875,8327.381196,8011.486402,7700.850117,7445.72032,7118.267969,6707.198362,6354.063007,5790.290287,5401.155525,5126.908229,4748.85234,4480.763029,4187.70862,,
연희동 영월,일반음식점,한식, 연희로 81-21 2층 (연희동) ,37.56583708,126.9289399,451818.7631,193722.7516,023234256,서대문구,,,,,,,,,,,,,,,451818.7631,193722.7516,,1016.740613,745.0081287,793.4188602,970.326007,1038.871026,1252.886792,1668.350775,2000.367783,2612.705613,2929.724707,3170.404842,3560.437527,3858.020265,4102.194361,,
고인돌,일반음식점,한식, 장문로 23 (이태원동) ,37.52856412,126.993108,447680.0062,199390.8729,027979434,용산구,,,,,,,,,,,,,,,447680.0062,199390.8729,,7934.298887,7419.310315,7073.090004,6735.48294,6480.599052,6144.0033,5701.959657,5330.415123,4719.715664,4327.902834,4049.271599,3646.648893,3352.900948,3062.194115,,
오리와메밀,일반음식점,한식, 충정로 43-4 (충정로3가) ,37.56301669,126.9641793,451503.9968,196835.5789,023621172,서대문구,,,,,,,,,,,,,,,451503.9968,196835.5789,,4144.464999,3794.352891,3603.091395,3426.546805,3218.155014,2996.253643,2823.691363,2679.788216,2610.301614,2488.584846,2447.619441,2519.742967,2633.747975,2656.156651,,
보길도활어회,일반음식점,일식, 북아현로 24473 ,37.56319006,126.9547712,451523.5947,196004.4784,023623833,서대문구,,,,,,,,,,,,,,,451523.5947,196004.4784,,3317.300055,2963.233111,2778.583196,2618.272663,2421.540231,2227.074313,2122.299669,2053.997626,2155.626895,2154.843672,2207.571284,2409.991542,2608.522339,2720.561862,,
청원,일반음식점,복어취급, 월드컵로 43 (합정동1층) ,37.55316108,126.9117592,450413.3135,192203.7335,023233124,마포구,,,,,,,,,,,,,,,450413.3135,192203.7335,,1641.16157,1386.098831,1296.843496,1346.622937,1540.468178,1786.538186,2105.550437,2430.589613,2985.50853,3377.18099,3654.591574,4048.426502,4337.455563,4629.868771,,
(주)거구상사(거구장),일반음식점,한식, 백범로 23 (신수동외 8필지) ,37.55243512,126.937558,450330.9224,194483.0606,027153611,마포구,,,,,,,,,,,,,,,450330.9224,194483.0606,,2410.342582,1867.467039,1502.093608,1157.494343,902.8617419,566.0647323,195.2614355,330.9730704,953.0424984,1303.744977,1568.091365,1974.573426,2278.373087,2548.895209,,
송담추어탕,일반음식점,한식, 동교로 237 (연남동 1층) ,37.56115965,126.9240322,451300.0186,193288.8036,01077066687,마포구,,,,,,,,,,,,,,,451300.0186,193288.8036,,881.8963148,329.696765,123.4045391,452.9274412,662.7670914,989.7328604,1456.686868,1832.692372,2476.205971,2840.185972,3106.068995,3512.425031,3816.187869,4084.708247,,
본죽(도화점),일반음식점,분식, 도화길 43 2층 202호 (도화동 나눔빌딩) ,37.54178774,126.9502535,449148.6489,195604.1263,027114010,마포구,,,,,,,,,,,,,,,449148.6489,195604.1263,,4037.690604,3490.141338,3114.488338,2753.343868,2507.568419,2172.429392,1707.469827,1328.990042,686.3679172,338.6802498,210.3109962,435.2049737,710.0372979,1003.62576,,
