업소명	소재지도로명	소재지지번		업태명	주된음식	행정동명	소재지전화번호
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	추어탕	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	추어탕	도화동	02 7179021
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
남원추어탕도화점	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	추어탕	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	돼지갈비	도화동	02 7179021
부함식당	서울특별시 마포구 새창로2길 13 (도화동)	서울특별시 마포구 도화동  179번지 7호  		한식	추어탕	도화동	02 7179021
사랑채	서울특별시 마포구 신촌로12가길 36 (노고산동)	서울특별시 마포구 노고산동  54번지 2호  		한식	우거지갈비탕	대흥동	02 3364479
사랑채	서울특별시 마포구 신촌로12가길 36 (노고산동)	서울특별시 마포구 노고산동  54번지 2호  		한식	한식(갈비탕)	대흥동	02 3364479
메이찬 COOK	서울특별시 마포구 백범로1길 12 (노고산동 12층)	서울특별시 마포구 노고산동  31번지 33호  		중국식	자장면	대흥동	207158550
메이찬 COOK	서울특별시 마포구 백범로1길 12 (노고산동 12층)	서울특별시 마포구 노고산동  31번지 33호  		중국식	짜장면	대흥동	207158550
마포나루김치찌개	서울특별시 마포구 마포대로12길 35 (공덕동지상1층지하1층)	서울특별시 마포구 공덕동  242번지 38호  지상1층지하1층		한식	샤브샤브	공덕동	02 7132693
마포나루김치찌개	서울특별시 마포구 마포대로12길 35 (공덕동지상1층지하1층)	서울특별시 마포구 공덕동  242번지 38호  지상1층지하1층		한식	샤브샤브	공덕동	02 7132693
국보	서울특별시 마포구 마포대로14길 20 지상1층 (공덕동)	서울특별시 마포구 공덕동  118번지  		한식	한식(명태탕)	공덕동	207110088
국보	서울특별시 마포구 마포대로14길 20 지상1층 (공덕동)	서울특별시 마포구 공덕동  118번지  		한식	아구찜	공덕동	207110088
