업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
설경,서울특별시 서대문구 모래내로 353 (홍은동),서울특별시 서대문구 홍은동  277번지 27호  ,한식,갈비,홍은제2동
설경,서울특별시 서대문구 모래내로 353 (홍은동),서울특별시 서대문구 홍은동  277번지 27호  ,한식,,홍은제2동
설경,서울특별시 서대문구 모래내로 353 (홍은동),서울특별시 서대문구 홍은동  277번지 27호  ,한식,갈비탕,홍은제2동
이디야,서울특별시 서대문구 신촌로 87-20 (창천동),서울특별시 서대문구 창천동  30번지 20호  ,분식,낙지볶음,신촌동
삼호복집,서울특별시 서대문구 연세로5다길 10 (창천동(지상23층)),서울특별시 서대문구 창천동  62번지 11호  (지상23층),한식,복매운탕,신촌동
삼호복집,서울특별시 서대문구 연세로5다길 10 (창천동(지상23층)),서울특별시 서대문구 창천동  62번지 11호  (지상23층),한식,일식,신촌동
연희동태찜,서울특별시 서대문구 연희맛로 25 (연희동),서울특별시 서대문구 연희동  132번지 43호  ,한식,동태찜,연희동
연희동태찜,서울특별시 서대문구 연희맛로 25 (연희동),서울특별시 서대문구 연희동  132번지 43호  ,한식,한식,연희동
신촌차돌구이,서울특별시 서대문구 연세로2가길 17 (창천동),서울특별시 서대문구 창천동  18번지 12호  ,한식,등심,신촌동
장군보쌈,서울특별시 서대문구 수색로 28-5 (남가좌동),서울특별시 서대문구 남가좌동  291번지 46호  ,한식,보쌈,남가좌제1동
장군보쌈,서울특별시 서대문구 수색로 28-5 (남가좌동),서울특별시 서대문구 남가좌동  291번지 46호  ,한식,한식,남가좌제1동
장군보쌈,서울특별시 서대문구 수색로 28-5 (남가좌동),서울특별시 서대문구 남가좌동  291번지 46호  ,한식,보쌈,남가좌제1동
육회지존2,서울특별시 서대문구 명물길 26 (창천동(지상1층)),서울특별시 서대문구 창천동  13번지 9호  (지상1층),한식,삼계탕,신촌동
벽제갈비,서울특별시 서대문구 명물길 22 (창천동13-109 13-114 (지하1층 지상23층)),서울특별시 서대문구 창천동  13번지 20호  13-109 13-114 (지하1층 지상23층),한식,소갈비,신촌동
율촌,,서울특별시 서대문구 대현동  56번지 4호  ,경양식,물비빔냉면,신촌동
율촌,,서울특별시 서대문구 대현동  56번지 4호  ,경양식,한식,신촌동
명숯불갈비,서울특별시 서대문구 통일로 470 1층 (홍제동),서울특별시 서대문구 홍제동  299번지 7호  1층,일식,돼지갈비,홍제제3동
마리,서울특별시 서대문구 성산로 529 (대신동),서울특별시 서대문구 대신동  85번지 3호  ,한식,한정식,신촌동
명당횟집,서울특별시 서대문구 응암로 87 (북가좌동),서울특별시 서대문구 북가좌동  309번지 1호  ,일식,생선회,북가좌제2동
뉴서울회관,서울특별시 서대문구 이화여대7길 30 2층 (대현동),서울특별시 서대문구 대현동  37번지 3호  ,한식,낙지샤브오리,신촌동
신원당감자탕,서울특별시 서대문구 서소문로 63 (미근동),서울특별시 서대문구 미근동  320번지 0호  ,분식,뼈해장국,충현동
풍년갈비,서울특별시 서대문구 통일로 495 (홍은동92-3),서울특별시 서대문구 홍은동  137번지 50호  92-3,한식,갈비탕,홍은제2동
풍년갈비,서울특별시 서대문구 통일로 495 (홍은동92-3),서울특별시 서대문구 홍은동  137번지 50호  92-3,한식,,홍은제2동
