"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3020000","2001","0012","20060630","20010630","대우정","서울특별시 용산구 후암로57길 7 (동자동(지상12층))","서울특별시 용산구 동자동  10번지 4호  (지상12층)","3020000-101-1981-06489","한식","소고기김치전골","135.17","남영동","상수도전용","02 7529685"
"3020000","2006","0151","20060630","20060630","함경면옥","서울특별시 용산구 서빙고로 9 (한강로3가(지상1-3층))","서울특별시 용산구 한강로3가  63번지 208호  (지상1-3층)","3020000-101-1984-06276","한식","갈비탕","301.61","한강로동","상수도전용","02 7983650"
"3020000","2010","0003","20100618","20100721","정원가든","서울특별시 용산구 대사관로31길 7 (한남동(지상12층))","서울특별시 용산구 한남동  657번지 103호  (지상12층)","3020000-101-1986-06575","한식","돼지갈비","160.80","한남동","상수도전용","02797 7082"
"3020000","2012","0006","20120910","20121128","마산아구탕","서울특별시 용산구 이촌로58길 12 (이촌동)","서울특별시 용산구 이촌동  302번지 165호  ","3020000-101-1986-06645","한식","아구찜","78.65","이촌제1동","상수도전용","02 7958465"
"3020000","2014","0010","20141008","20141201","신의주부대찌개","서울특별시 용산구 한강대로62가길 20 (용산동3가(지상1층))","서울특별시 용산구 용산동3가  1번지 2호  (지상1층)","3020000-101-1987-06167","한식","부대찌개","58.20","한강로동","상수도전용","02 7941408"
"3020000","2001","0016","20060630","20010630","강원정 삼계탕","서울특별시 용산구 원효로89길 13-10 (원효로1가(지상1층))","서울특별시 용산구 원효로1가  48번지 7호  (지상1층)","3020000-101-1987-07108","한식","삼계탕","64.38","원효로제1동","상수도전용","02 7199978"
"3020000","2015","0056","20060630","20151211","금강산","서울특별시 용산구 독서당로 23 2층 (한남동)","서울특별시 용산구 한남동  110번지 1호  ","3020000-101-1988-06129","한식","그린포그갈비","629.36","한남동","상수도전용","02 7925721"
"3020000","2001","0043","20060630","20010630","부산갈비","서울특별시 용산구 이태원로27가길 18 지상1층 (이태원동)","서울특별시 용산구 이태원동  112번지 6호  지상1층","3020000-101-1988-06740","식육(숯불구이)","갈비탕","144.99","이태원제1동","상수도전용","02  796 7641"
"3020000","2001","0047","20060630","20010630","라쿠치나(주)세부유통","서울특별시 용산구 회나무로44길 10 (이태원동)","서울특별시 용산구 이태원동  258번지 7호  (지상1층.2층.3층)","3020000-101-1989-01146","경양식","스테이크","377.26","이태원제1동","상수도전용","02 7985211"
"3020000","2001","0039","20060630","20010630","열해","서울특별시 용산구 이촌로 248 (이촌동(한강맨션 21동 201호))","서울특별시 용산구 이촌동  300번지 26호  (한강맨션 21동 201호)","3020000-101-1991-00016","일식","모듬생선회","91.06","이촌제1동","상수도전용","02793 1188"
"3020000","2010","0004","20100618","20100721","수라한","서울특별시 용산구 한강대로76길 21-11 (남영동(지상1층))","서울특별시 용산구 남영동  105번지 2호  (지상1층)","3020000-101-1991-06488","한식","한정식","42.84","남영동","상수도전용","02 7932968"
"3020000","2001","0041","20060630","20010630","셰프테이너","서울특별시 용산구 이태원로27길 101 (이태원동(지하1층))","서울특별시 용산구 이태원동  135번지 55호  (지하1층)","3020000-101-1993-01372","경양식","등심스테이크","151.59","이태원제1동","상수도전용","02798 4656"
