주차장명,주소,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,위도,경도
초안산근린공원주차장(구),도봉구 창동 24-0,노외 주차장,시간제 주차장,,68,유료,900,1900,900,1900,900,1900,무료,무료,0,0,0,300,10,0,37.64927895,127.0404744
마들스타디움(근린공원)(구),노원구 상계동 770-2,노외 주차장,시간제 주차장,02-2289-6735,177,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,11000,37.64391748,127.0585674
영등포여자고등학교지하공영(구),영등포구 신길동 184-3,노외 주차장,시간제 주차장,02-831-6723,98,유료,1000,1900,1000,1900,1000,1900,무료,무료,65000,50,5,50,5,0,37.51520496,126.915116
당산근린공원지하공영(구),영등포구 당산동3가 385-0,노외 주차장,시간제 주차장,02-2633-0298,190,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,0,37.52552609,126.8957941
대림운동장(구),영등포구 대림동 780-0,노외 주차장,시간제 주차장,02-831-3312,192,유료,600,2200,600,2200,600,2200,무료,무료,65000,50,5,50,5,0,37.49965667,126.8948384
양재역환승주차장(시),서초구 양재동 23-0,노외 주차장,시간제 주차장,,894,유료,0,2400,0,2400,0,2400,무료,무료,120000,1500,30,500,10,20000,37.48352522,127.034342
휘경마을 공영주차장(구),동대문구 휘경동 308-32,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,78,유료,900,1900,900,1900,900,1900,무료,무료,0,1000,60,0,0,10000,37.5880691,127.0580933
중산공영주차장(구),동대문구 답십리동 23-3,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,58,유료,900,1900,900,1900,900,1900,무료,무료,0,1000,60,0,0,10000,37.56867158,127.0589207
방학동 도깨비시장 공영주차장(구),도봉구 방학동 632-1,노외 주차장,시간제 + 거주자 주차장,02-901-5100,80,유료,900,2200,900,2200,900,2200,무료,무료,0,100,5,100,5,0,37.6645806,127.0339057
은평평화공원(구),은평구 녹번동 153-1,노외 주차장,시간제 주차장,02-350-5183,143,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,0,37.60573659,126.9231083
강남관광정보센터-공영주차장(구),강남구 압구정동 428-0,노외 주차장,시간제 주차장,02-2176-0971,342,유료,900,2100,900,2100,900,2100,무료,무료,200000,400,5,400,5,0,37.52701729,127.0264712
