주차장명,지역구,주소,위도,경도,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금
양화진 공영주차장(구),마포구 , 합정동 139-21,37.545733,126.9112039,노외 주차장,시간제 주차장,02-300-5052,133,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0
망원1-2 공영주차장(구),마포구 , 망원동 403-2,37.55558459,126.9058731,노외 주차장,시간제 주차장,02-300-5052,150,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0
가족공원주차장(시),용산구 , 용산동6가 93-6,37.52073083,126.9836596,노외 주차장,시간제 주차장,02-792-5661,50,유료,0,2400,0,2400,0,2400,무료,무료,120000,300,10,300,10,0
청파동1마을공원공영주차장(구),용산구 , 청파동3가 118-102,37.54294115,126.9684714,노외 주차장,시간제 주차장,010-8956-2371,105,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0
청파동청사(구),용산구 , 청파동2가 91-1,37.54549939,126.9699178,노외 주차장,시간제 주차장,070-4257-3611,32,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0
용산전자상가4(구),용산구 , 원효로3가 51-5,37.53388844,126.9600572,노외 주차장,시간제 주차장,02-707-3163,114,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0
후암동주차장(구),용산구 , 후암동 65-4,37.55048874,126.9764859,노외 주차장,시간제 주차장,010-3330-8150,39,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0
해방촌노외(시),용산구 , 용산동2가 1-1497,37.54438297,126.9843042,노외 주차장,시간제 주차장,02-2642-6209,24,유료,900,2200,900,2200,900,2200,무료,무료,100000,150,5,150,5,0
동작대교(시),용산구 , 용산동6가 69-11,37.51801557,126.9839829,노외 주차장,시간제 주차장,02-2642-6209,87,유료,800,2200,800,2200,800,2200,무료,무료,50000,100,5,100,5,0
망원동 노외 공영주차장(구),마포구 , 망원동 478-10,37.55955925,126.9066011,노외 주차장,시간제 주차장,02-300-5052,13,유료,900,1900,900,1900,0,0,무료,유료,50000,100,5,100,5,0
신촌역동측광장공영주차장(구),서대문구,구 대현동 121-9,37.55933566,126.9427449,노외 주차장,시간제 + 버스전용 주차장,02-360-8540~1,26,유료,0,2400,0,2400,0,2400,무료,무료,350000,350,5,350,5,0
독립문고가밑(시),서대문구,구 영천동 59-0,37.57153876,126.9596823,노상 주차장,시간제 주차장,02-2663-6209,11,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0
서강대역 환승 공영주차장(구),마포구 , 신수동 93-35,37.55102716,126.9364628,노외 주차장,시간제 주차장,02-300-5052,98,유료,1000,2000,1000,2000,1000,2000,무료,무료,50000,150,5,150,5,0
한남동공영주차장(구),용산구 , 한남동 685-46,37.53496611,127.0001918,노외 주차장,시간제 주차장,02-749-3633,250,유료,0,2400,0,2400,0,2400,무료,무료,180000,250,5,250,5,0
이촌한강공원주차장(시),용산구 , 이촌동 376-0,37.52096923,126.9597975,노외 주차장,시간제 주차장,02-533-2883,150,유료,900,2300,900,2300,0,0,무료,유료,50000,1000,30,200,10,10000
북아현 가구단지(구),서대문구,구 북아현동 915-0,37.55829286,126.9603554,노외 주차장,시간제 주차장,,15,유료,1000,2100,1000,2100,0,0,무료,유료,240000,250,5,250,5,0
연희사러가쇼핑센터앞(구),서대문구,구 연희동 133-16 ,37.56702513,126.9298922,노상 주차장,시간제 주차장,,31,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0
인왕시장앞(구),서대문구,구 홍제동 295-3 ,37.59145574,126.9438465,노상 주차장,시간제 주차장,,64,유료,1000,1900,1000,1500,0,0,무료,유료,0,250,5,0,0,0
유진상가앞(구),서대문구,구 홍제동 294-1 ,37.59157158,126.9436372,노상 주차장,시간제 주차장,,64,유료,1000,1900,1000,1500,0,0,무료,유료,0,250,5,0,0,0
망원 유료 주차장(구),마포구 , 망원동 394-79 ,37.55459028,126.9011057,노상 주차장,시간제 주차장,,87,유료,900,1900,0,0,0,0,유료,유료,0,150,5,150,5,0
경남 공영주차장(구),마포구 , 서교동 376-5 ,37.55399981,126.9190031,노상 주차장,시간제 주차장,,22,유료,1100,2100,1100,2100,0,0,무료,유료,0,250,5,250,5,0
홍대서측 노상 공영주차장(구),마포구 , 서교동 366-19,37.55114502,126.9213372,노상 주차장,시간제 주차장,,168,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0
동교동 노상 공영주차장(구),마포구 , 서교동 332-1,37.55675242,126.9269787,노상 주차장,시간제 주차장,,67,유료,1100,2100,1100,2100,1100,2100,무료,무료,120000,400,5,400,5,0
새물결 노상 공영주차장(구),마포구 , 동교동 165-1,37.55645301,126.924933,노상 주차장,시간제 주차장,,17,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0
용강동 노상 공영주차장(구),마포구 , 용강동 122-15,37.5396973,126.9437561,노상 주차장,시간제 주차장,,54,유료,1200,2200,1200,1800,0,0,무료,유료,0,250,5,250,5,0
청기와 유료 주차장(구),마포구 , 서교동 479-4 ,37.55775244,126.9135971,노상 주차장,시간제 주차장,,84,유료,900,1900,0,0,0,0,유료,유료,0,250,5,250,5,0
연남 유료 주차장(구),마포구 , 연남동 228-23 ,37.56207319,126.9244254,노상 주차장,시간제 주차장,,78,유료,1000,2100,1000,2100,0,0,무료,유료,0,250,5,250,5,0
합정 노상 공영주차장(구),마포구 , 서교동 394-22,37.5489203,126.9164528,노상 주차장,시간제 주차장,,29,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0
당인 유료 주차장(구),마포구 , 합정동 362-1 ,37.54749691,126.918125,노상 주차장,시간제 주차장,,47,유료,1100,2100,0,0,0,0,유료,유료,0,300,5,300,5,0
